Source:_EU_EnVis_Scenarios_InputData_v1.3.0.csv	Unnamed:_1
Coal	0.8
CoalCCS	0.8
Lignite	0.8
LigniteCCS	0.8
GasOCGT	0.8
GasCCGT	0.8
GasCCS	0.8
Nuclear	0.837
Wave	0.46
Geo	0.9
Bio	0.9
BioCCS	0.9
Hydrorun-of-the-river	0.0
Hydroregulated	0.33
Windonshore	0.0
Windoffshorefloating	0.0
Windoffshoregrounded	0.0
Solar	0.0
Oil	0.8
Waste	0.95
