Source:_Assumed	Unnamed:_1	Unnamed:_2	Unnamed:_3
EU	CCS	1	0
EU	CCS	2	0
EU	CCS	3	0
EU	CCS	4	0
EU	CCS	5	0
EU	CCS	6	0
EU	CCS	7	0
France	CCS	1	0
France	CCS	2	0
France	CCS	3	0
France	CCS	4	0
France	CCS	5	0
France	CCS	6	0
France	CCS	7	0
Italy	CCS	1	0
Italy	CCS	2	0
Italy	CCS	3	0
Italy	CCS	4	0
Italy	CCS	5	0
Italy	CCS	6	0
Italy	CCS	7	0
Portugal	CCS	1	0
Portugal	CCS	2	0
Portugal	CCS	3	0
Portugal	CCS	4	0
Portugal	CCS	5	0
Portugal	CCS	6	0
Portugal	CCS	7	0
