Source:_M:\Work\codes\Energy_vision_scenarios\data\EMPIRE\Data_handler_Trinity_EU\Transmission.xlsx_+_data/IAMC/Spain/Spain_IAMC.xlsx	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES220	ES230	6	8803.32143454957
ES220	ES230	7	8803.32143454957
ES220	ES241	1	491.556019188047
ES220	ES241	2	491.556019188047
ES220	ES241	3	491.556019188047
ES220	ES241	4	491.556019188047
ES220	ES241	5	491.556019188047
ES220	ES241	6	491.556019188047
ES220	ES241	7	491.556019188047
ES220	ES243	1	4279.03245259912
ES220	ES243	2	4279.03245259912
ES220	ES243	3	4279.03245259912
ES220	ES243	4	4279.03245259912
ES220	ES243	5	4279.03245259912
ES220	ES243	6	4279.03245259912
ES220	ES243	7	4279.03245259912
ES230	ES412	1	2279.03245259912
ES230	ES412	2	2279.03245259912
ES230	ES412	3	2279.03245259912
ES230	ES412	4	2279.03245259912
ES230	ES412	5	2279.03245259912
ES230	ES412	6	2279.03245259912
ES230	ES412	7	2279.03245259912
ES241	ES243	1	3440.89213431633
ES241	ES243	2	3440.89213431633
ES241	ES243	3	3440.89213431633
ES241	ES243	4	3440.89213431633
ES241	ES243	5	3440.89213431633
ES241	ES243	6	3440.89213431633
ES241	ES243	7	3440.89213431633
ES241	ES513	1	1873.112038376094
ES241	ES513	2	1873.112038376094
ES241	ES513	3	1873.112038376094
ES241	ES513	4	1873.112038376094
ES241	ES513	5	1873.112038376094
ES241	ES513	6	1873.112038376094
ES241	ES513	7	1873.112038376094
ES241	France	1	502.727746896866
ES241	France	2	502.727746896866
ES241	France	3	502.727746896866
ES241	France	4	502.727746896866
ES241	France	5	502.727746896866
ES241	France	6	502.727746896866
ES241	France	7	502.727746896866
ES242	ES243	1	12691.0826772186
ES242	ES243	2	12691.0826772186
ES242	ES243	3	12691.0826772186
ES242	ES243	4	12691.0826772186
ES242	ES243	5	12691.0826772186
ES242	ES243	6	12691.0826772186
ES242	ES243	7	12691.0826772186
ES242	ES522	1	8937.3821670554
ES242	ES522	2	8937.3821670554
ES242	ES522	3	8937.3821670554
ES242	ES522	4	8937.3821670554
ES242	ES522	5	8937.3821670554
ES242	ES522	6	8937.3821670554
ES242	ES522	7	8937.3821670554
ES243	ES417	1	2770.58847178717
ES243	ES417	2	2770.58847178717
ES243	ES417	3	2770.58847178717
ES243	ES417	4	2770.58847178717
ES243	ES417	5	2770.58847178717
ES243	ES417	6	2770.58847178717
ES243	ES417	7	2770.58847178717
ES243	ES424	1	3574.95286682216
ES243	ES424	2	3574.95286682216
ES243	ES424	3	3574.95286682216
ES243	ES424	4	3574.95286682216
ES243	ES424	5	3574.95286682216
ES243	ES424	6	3574.95286682216
ES243	ES424	7	3574.95286682216
ES243	ES513	1	3108.96191755383
ES243	ES513	2	3108.96191755383
ES243	ES513	3	3108.96191755383
ES243	ES513	4	3108.96191755383
ES243	ES513	5	3108.96191755383
ES243	ES513	6	3108.96191755383
ES243	ES513	7	3108.96191755383
ES243	ES514	1	5049.6209243863
ES243	ES514	2	5049.6209243863
ES243	ES514	3	5049.6209243863
ES243	ES514	4	5049.6209243863
ES243	ES514	5	5049.6209243863
ES243	ES514	6	5049.6209243863
ES243	ES514	7	5049.6209243863
ES300	ES414	1	1787.47643341108
ES300	ES414	2	1787.47643341108
ES300	ES414	3	1787.47643341108
ES300	ES414	4	1787.47643341108
ES300	ES414	5	1787.47643341108
ES300	ES414	6	1787.47643341108
ES300	ES414	7	1787.47643341108
ES300	ES416	1	5362.42930023324
ES300	ES416	2	5362.42930023324
ES300	ES416	3	5362.42930023324
ES300	ES416	4	5362.42930023324
ES300	ES416	5	5362.42930023324
ES300	ES416	6	5362.42930023324
ES300	ES416	7	5362.42930023324
ES300	ES418	1	3574.95286682216
ES300	ES418	2	3574.95286682216
ES300	ES418	3	3574.95286682216
ES300	ES418	4	3574.95286682216
ES300	ES418	5	3574.95286682216
ES300	ES418	6	3574.95286682216
ES300	ES418	7	3574.95286682216
ES300	ES423	1	6036.50888601021
ES300	ES423	2	6036.50888601021
ES300	ES423	3	6036.50888601021
ES300	ES423	4	6036.50888601021
ES300	ES423	5	6036.50888601021
ES300	ES423	6	6036.50888601021
ES300	ES423	7	6036.50888601021
ES300	ES424	1	4558.06490519825
ES300	ES424	2	4558.06490519825
ES300	ES424	3	4558.06490519825
ES300	ES424	4	4558.06490519825
ES300	ES424	5	4558.06490519825
ES300	ES424	6	4558.06490519825
ES300	ES424	7	4558.06490519825
ES300	ES425	1	3579.33611512828
ES300	ES425	2	3579.33611512828
ES300	ES425	3	3579.33611512828
ES300	ES425	4	3579.33611512828
ES300	ES425	5	3579.33611512828
ES300	ES425	6	3579.33611512828
ES300	ES425	7	3579.33611512828
ES300	ES432	1	10724.8586004664
ES300	ES432	2	10724.8586004664
ES300	ES432	3	10724.8586004664
ES300	ES432	4	10724.8586004664
ES300	ES432	5	10724.8586004664
ES300	ES432	6	10724.8586004664
ES300	ES432	7	10724.8586004664
ES412	ES414	1	5541.17694357435
ES412	ES414	2	5541.17694357435
ES412	ES414	3	5541.17694357435
ES412	ES414	4	5541.17694357435
ES412	ES414	5	5541.17694357435
ES412	ES414	6	5541.17694357435
ES412	ES414	7	5541.17694357435
ES413	ES414	1	6345.54133860933
ES413	ES414	2	6345.54133860933
ES413	ES414	3	6345.54133860933
ES413	ES414	4	6345.54133860933
ES413	ES414	5	6345.54133860933
ES413	ES414	6	6345.54133860933
ES413	ES414	7	6345.54133860933
ES413	ES418	1	8133.01777202042
ES413	ES418	2	8133.01777202042
ES413	ES418	3	8133.01777202042
ES413	ES418	4	8133.01777202042
ES413	ES418	5	8133.01777202042
ES413	ES418	6	8133.01777202042
ES413	ES418	7	8133.01777202042
ES413	ES419	1	3574.95286682216
ES413	ES419	2	3574.95286682216
ES413	ES419	3	3574.95286682216
ES413	ES419	4	3574.95286682216
ES413	ES419	5	3574.95286682216
ES413	ES419	6	3574.95286682216
ES413	ES419	7	3574.95286682216
ES414	ES415	1	5817.476433411081
ES414	ES415	2	5817.476433411081
ES414	ES415	3	5817.476433411081
ES414	ES415	4	5817.476433411081
ES414	ES415	5	5817.476433411081
ES414	ES415	6	5817.476433411081
ES414	ES415	7	5817.476433411081
ES414	ES418	1	5049.6209243863
ES414	ES418	2	5049.6209243863
ES414	ES418	3	5049.6209243863
ES414	ES418	4	5049.6209243863
ES414	ES418	5	5049.6209243863
ES414	ES418	6	5049.6209243863
ES414	ES418	7	5049.6209243863
ES415	ES419	1	7820.20939617348
ES415	ES419	2	7820.20939617348
ES415	ES419	3	7820.20939617348
ES415	ES419	4	7820.20939617348
ES415	ES419	5	7820.20939617348
ES415	ES419	6	7820.20939617348
ES415	ES419	7	7820.20939617348
ES415	ES432	1	3574.95286682216
