Source:_Reference_(distributed)	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES230	Li-Ion_BESS	1	10638.298
ES230	Li-Ion_BESS	2	10638.298
ES230	Li-Ion_BESS	3	10638.298
ES230	Li-Ion_BESS	4	10638.298
ES230	Li-Ion_BESS	5	10638.298
ES230	Li-Ion_BESS	6	10638.298
ES230	Li-Ion_BESS	7	10638.298
ES241	HydroPumpStorage	1	10638.298
ES241	HydroPumpStorage	2	10638.298
ES241	HydroPumpStorage	3	10638.298
ES241	HydroPumpStorage	4	10638.298
ES241	HydroPumpStorage	5	10638.298
ES241	HydroPumpStorage	6	10638.298
ES241	HydroPumpStorage	7	10638.298
ES241	Li-Ion_BESS	1	10638.298
ES241	Li-Ion_BESS	2	10638.298
ES241	Li-Ion_BESS	3	10638.298
ES241	Li-Ion_BESS	4	10638.298
ES241	Li-Ion_BESS	5	10638.298
ES241	Li-Ion_BESS	6	10638.298
ES241	Li-Ion_BESS	7	10638.298
ES242	HydroPumpStorage	1	10638.298
ES242	HydroPumpStorage	2	10638.298
ES242	HydroPumpStorage	3	10638.298
ES242	HydroPumpStorage	4	10638.298
ES242	HydroPumpStorage	5	10638.298
ES242	HydroPumpStorage	6	10638.298
ES242	HydroPumpStorage	7	10638.298
ES242	Li-Ion_BESS	1	10638.298
ES242	Li-Ion_BESS	2	10638.298
ES242	Li-Ion_BESS	3	10638.298
ES242	Li-Ion_BESS	4	10638.298
ES242	Li-Ion_BESS	5	10638.298
ES242	Li-Ion_BESS	6	10638.298
ES242	Li-Ion_BESS	7	10638.298
ES243	HydroPumpStorage	1	10638.298
ES243	HydroPumpStorage	2	10638.298
ES243	HydroPumpStorage	3	10638.298
ES243	HydroPumpStorage	4	10638.298
ES243	HydroPumpStorage	5	10638.298
ES243	HydroPumpStorage	6	10638.298
ES243	HydroPumpStorage	7	10638.298
ES243	Li-Ion_BESS	1	10638.298
ES243	Li-Ion_BESS	2	10638.298
ES243	Li-Ion_BESS	3	10638.298
ES243	Li-Ion_BESS	4	10638.298
ES243	Li-Ion_BESS	5	10638.298
ES243	Li-Ion_BESS	6	10638.298
ES243	Li-Ion_BESS	7	10638.298
ES300	HydroPumpStorage	1	10638.298
ES300	HydroPumpStorage	2	10638.298
ES300	HydroPumpStorage	3	10638.298
ES300	HydroPumpStorage	4	10638.298
ES300	HydroPumpStorage	5	10638.298
ES300	HydroPumpStorage	6	10638.298
ES300	HydroPumpStorage	7	10638.298
ES300	Li-Ion_BESS	1	10638.298
ES300	Li-Ion_BESS	2	10638.298
ES300	Li-Ion_BESS	3	10638.298
ES300	Li-Ion_BESS	4	10638.298
ES300	Li-Ion_BESS	5	10638.298
ES300	Li-Ion_BESS	6	10638.298
ES300	Li-Ion_BESS	7	10638.298
ES412	HydroPumpStorage	1	10638.298
ES412	HydroPumpStorage	2	10638.298
ES412	HydroPumpStorage	3	10638.298
ES412	HydroPumpStorage	4	10638.298
ES412	HydroPumpStorage	5	10638.298
ES412	HydroPumpStorage	6	10638.298
ES412	HydroPumpStorage	7	10638.298
ES412	Li-Ion_BESS	1	10638.298
ES412	Li-Ion_BESS	2	10638.298
ES412	Li-Ion_BESS	3	10638.298
ES412	Li-Ion_BESS	4	10638.298
ES412	Li-Ion_BESS	5	10638.298
ES412	Li-Ion_BESS	6	10638.298
ES412	Li-Ion_BESS	7	10638.298
ES413	HydroPumpStorage	1	10638.298
ES413	HydroPumpStorage	2	10638.298
ES413	HydroPumpStorage	3	10638.298
ES413	HydroPumpStorage	4	10638.298
ES413	HydroPumpStorage	5	10638.298
ES413	HydroPumpStorage	6	10638.298
ES413	HydroPumpStorage	7	10638.298
ES413	Li-Ion_BESS	1	10638.298
ES413	Li-Ion_BESS	2	10638.298
ES413	Li-Ion_BESS	3	10638.298
ES413	Li-Ion_BESS	4	10638.298
ES413	Li-Ion_BESS	5	10638.298
ES413	Li-Ion_BESS	6	10638.298
ES413	Li-Ion_BESS	7	10638.298
ES414	HydroPumpStorage	1	10638.298
ES414	HydroPumpStorage	2	10638.298
ES414	HydroPumpStorage	3	10638.298
ES414	HydroPumpStorage	4	10638.298
ES414	HydroPumpStorage	5	10638.298
ES414	HydroPumpStorage	6	10638.298
ES414	HydroPumpStorage	7	10638.298
ES414	Li-Ion_BESS	1	10638.298
ES414	Li-Ion_BESS	2	10638.298
ES414	Li-Ion_BESS	3	10638.298
ES414	Li-Ion_BESS	4	10638.298
ES414	Li-Ion_BESS	5	10638.298
ES414	Li-Ion_BESS	6	10638.298
ES414	Li-Ion_BESS	7	10638.298
ES415	HydroPumpStorage	1	10638.298
ES415	HydroPumpStorage	2	10638.298
ES415	HydroPumpStorage	3	10638.298
ES415	HydroPumpStorage	4	10638.298
ES415	HydroPumpStorage	5	10638.298
ES415	HydroPumpStorage	6	10638.298
ES415	HydroPumpStorage	7	10638.298
ES415	Li-Ion_BESS	1	10638.298
ES415	Li-Ion_BESS	2	10638.298
ES415	Li-Ion_BESS	3	10638.298
ES415	Li-Ion_BESS	4	10638.298
ES415	Li-Ion_BESS	5	10638.298
ES415	Li-Ion_BESS	6	10638.298
ES415	Li-Ion_BESS	7	10638.298
ES416	HydroPumpStorage	1	10638.298
ES416	HydroPumpStorage	2	10638.298
ES416	HydroPumpStorage	3	10638.298
ES416	HydroPumpStorage	4	10638.298
ES416	HydroPumpStorage	5	10638.298
ES416	HydroPumpStorage	6	10638.298
ES416	HydroPumpStorage	7	10638.298
ES416	Li-Ion_BESS	1	10638.298
ES416	Li-Ion_BESS	2	10638.298
ES416	Li-Ion_BESS	3	10638.298
ES416	Li-Ion_BESS	4	10638.298
ES416	Li-Ion_BESS	5	10638.298
ES416	Li-Ion_BESS	6	10638.298
ES416	Li-Ion_BESS	7	10638.298
ES417	HydroPumpStorage	1	10638.298
ES417	HydroPumpStorage	2	10638.298
ES417	HydroPumpStorage	3	10638.298
ES417	HydroPumpStorage	4	10638.298
ES417	HydroPumpStorage	5	10638.298
ES417	HydroPumpStorage	6	10638.298
ES417	HydroPumpStorage	7	10638.298
ES417	Li-Ion_BESS	1	10638.298
ES417	Li-Ion_BESS	2	10638.298
ES417	Li-Ion_BESS	3	10638.298
ES417	Li-Ion_BESS	4	10638.298
ES417	Li-Ion_BESS	5	10638.298
ES417	Li-Ion_BESS	6	10638.298
ES417	Li-Ion_BESS	7	10638.298
ES418	HydroPumpStorage	1	10638.298
ES418	HydroPumpStorage	2	10638.298
ES418	HydroPumpStorage	3	10638.298
ES418	HydroPumpStorage	4	10638.298
ES418	HydroPumpStorage	5	10638.298
ES418	HydroPumpStorage	6	10638.298
ES418	HydroPumpStorage	7	10638.298
ES418	Li-Ion_BESS	1	10638.298
ES418	Li-Ion_BESS	2	10638.298
ES418	Li-Ion_BESS	3	10638.298
ES418	Li-Ion_BESS	4	10638.298
ES418	Li-Ion_BESS	5	10638.298
ES418	Li-Ion_BESS	6	10638.298
ES418	Li-Ion_BESS	7	10638.298
ES419	HydroPumpStorage	1	10638.298
ES419	HydroPumpStorage	2	10638.298
ES419	HydroPumpStorage	3	10638.298
ES419	HydroPumpStorage	4	10638.298
ES419	HydroPumpStorage	5	10638.298
ES419	HydroPumpStorage	6	10638.298
ES419	HydroPumpStorage	7	10638.298
ES419	Li-Ion_BESS	1	10638.298
