Source:_EU_EnVis_Scenarios_InputData_v1.3.0.csv	Unnamed:_1	Unnamed:_2
HydroPumpStorage	1	22.5
Li-Ion_BESS	1	8.1
HydroPumpStorage	2	22.5
Li-Ion_BESS	2	8.1
HydroPumpStorage	3	22.5
Li-Ion_BESS	3	8.1
HydroPumpStorage	4	22.5
Li-Ion_BESS	4	8.1
HydroPumpStorage	5	22.5
Li-Ion_BESS	5	8.1
HydroPumpStorage	6	22.5
Li-Ion_BESS	6	8.1
HydroPumpStorage	7	22.5
Li-Ion_BESS	7	8.1
