date,hour,load_mw,solar_mw,wind_mw
2024-07-08,0,34121.83028168888,2066.4475754107957,8946.299012214473
2024-07-08,1,32606.69146904583,2058.1020992724766,8997.438704044034
2024-07-08,2,31067.24105492374,2057.2944725494135,8937.487249929995
2024-07-08,3,30556.27090454004,2055.948428010975,8775.88582374858
2024-07-08,4,30513.33462590457,2043.2956093496532,8487.615314727793
2024-07-08,5,31101.220427751152,1987.8385743659867,8246.865380884012
2024-07-08,6,34047.04722684697,1987.0309476429234,8104.933066944738
2024-07-08,7,37314.896115708805,6115.887964849199,7448.614129649045
2024-07-08,8,40529.430089046466,20655.053442338885,6758.779025092749
2024-07-08,9,44927.12866769664,40184.2752327278,6344.468844824334
2024-07-08,10,48422.88104878583,51074.85238432608,5879.333678522233
2024-07-08,11,51725.846695339584,54698.404281802534,6303.399738462748
2024-07-08,12,53478.556771558375,57110.78530359202,7105.11275345233
2024-07-08,13,53918.866887234035,58190.04381451202,8331.835945770052
2024-07-08,14,54996.68121947079,58275.38303824903,9527.875322990038
2024-07-08,15,55557.554130785116,57848.9561284717,10393.001555848276
2024-07-08,16,55278.04180033037,56333.309978189944,10975.207278215586
2024-07-08,17,53840.387331582446,52781.098441250724,11376.299815057286
2024-07-08,18,51791.95719058957,47264.46950491435,12216.721642939397
2024-07-08,19,48770.92081732766,37582.37113992617,12958.48320381494
2024-07-08,20,46384.2608522494,19177.365748041095,13730.613873992346
2024-07-08,21,43790.02814939702,5132.467825066026,13802.681501247544
2024-07-08,22,42761.69005876671,2532.1789857105186,13781.281507128098
2024-07-08,23,40727.7615747964,2466.761221142407,13425.34925199435
2024-12-02,0,32933.54744448604,0.0,6121.814494243322
2024-12-02,1,31246.66351730111,0.0,6180.035066480053
2024-12-02,2,30549.588768461013,0.0,6183.182124438795
2024-12-02,3,30118.37773170148,0.0,6121.34243554951
2024-12-02,4,30165.29485736275,0.0,6166.817423053335
2024-12-02,5,31211.831105825306,0.0,6436.834995913418
2024-12-02,6,34917.14664820152,0.0,6523.221736880893
2024-12-02,7,40029.833787307914,0.0,5774.221942700242
2024-12-02,8,42453.88527980714,3166.973590038119,5418.4470404644335
2024-12-02,9,45185.88372437398,11918.416761149912,5299.488249623977
2024-12-02,10,46267.96324985266,23934.556355790464,4506.2722911229985
2024-12-02,11,46537.66563585096,30332.036838081,4016.2753669468334
2024-12-02,12,46769.549975104106,32918.59602314443,4084.409171753602
2024-12-02,13,46916.55696884277,33122.117957356335,4643.48401812416
2024-12-02,14,46752.915721460566,31599.203166567007,5434.497036054018
2024-12-02,15,46117.82844773658,27204.906166380657,6151.86889774931
2024-12-02,16,44903.954451082136,16527.542469671047,7077.890702109212
2024-12-02,17,45565.628096014174,5091.278862189808,8788.001996889738
2024-12-02,18,47059.58311555562,0.0,10005.44136822917
2024-12-02,19,47838.40740153281,0.0,10898.26171112434
2024-12-02,20,48147.77608468109,0.0,11431.688035131148
2024-12-02,21,47470.463397861946,0.0,11552.849766542724
2024-12-02,22,43614.58653404546,0.0,11305.648363883522
2024-12-02,23,39330.626441846856,0.0,11043.183730124421
