date,hour,branch_id,branch_name,from_bus,to_bus,flow_mw,flow_mvar,limit_mw,loading_pct
2024-07-08,0,550,LTGES0381b,817,815,-2.15,-0.2,270.7,0.8
2024-07-08,0,341,LTGES0236a,257,757,5.73,0.42,270.7,2.1
2024-07-08,0,664,LTGES0459a,387,896,26.88,-23.88,2859.96,1.3
2024-07-08,0,912,LTGES0615a,466,266,8.48,-6.19,786.49,1.3
2024-07-08,0,1748,LTGES1150b,968,526,3.5,-15.64,786.49,2.0
2024-07-08,0,1966,LTGES1291,1169,1168,-4.66,-7.25,1429.98,0.6
2024-07-08,0,2321,TR_a4b2c097,255,256,-7.62,2.38,160.0,5.0
2024-07-08,0,1598,LTGES1052b,467,479,236.83,13.12,786.49,30.2
2024-07-08,0,2049,LTGES1353,666,406,-70.37,49.56,1429.98,6.0
2024-07-08,0,2275,TR_4422f4c8,388,389,766.34,-225.88,2400.0,33.3
2024-07-08,0,2239,TR_05391fc2,18,19,-265.02,-80.48,600.0,46.2
2024-07-08,0,1685,LTGES1113a,301,625,-0.24,-3.27,786.49,0.4
2024-07-08,0,1990,LTGES1311,470,626,46.02,-26.93,393.24,13.6
2024-07-08,0,598,LTGES0414,345,1064,-61.89,-12.61,1429.98,4.4
2024-07-08,0,1318,LTGES0868a,527,558,15.92,17.21,786.49,3.0
2024-07-08,0,643,LTGES0445b,369,371,-6.71,-1.69,786.49,0.9
2024-07-08,0,1052,LTGES0695a,923,922,9.15,-0.34,786.49,1.2
2024-07-08,0,14,LTGES0009b,14,17,-208.31,-183.51,2859.96,9.7
2024-07-08,0,167,LTGES0124a,160,714,4.58,29.96,2859.96,1.1
2024-07-08,0,1121,LTGES0741a,511,937,-27.82,2.5,786.49,3.6
2024-07-08,0,613,LTGES0427,359,75,-88.09,-5.9,1429.98,6.2
2024-07-08,0,1556,LTGES1023,96,575,236.67,-7.91,393.24,60.2
2024-07-08,0,96,LTGES0066a,44,38,-89.88,-4.1,786.49,11.4
2024-07-08,0,2334,TR_a3c83c97,370,371,-2.3,0.44,160.0,1.5
2024-07-08,0,456,LTGES0314,125,1119,11.62,-5.97,393.24,3.3
2024-07-08,0,1078,LTGES0712b,502,192,12.04,-0.46,786.49,1.5
2024-07-08,0,1922,LTGES1259,691,46,161.73,-29.9,1429.98,11.5
