date,hour,fuel,dispatch_mw,capacity_mw,utilization_pct
2024-07-08,17,Wind,6008.9,57409.2,10.5
2024-07-08,17,Nuclear,4827.4,6034.3,80.0
2024-07-08,17,Hydro,4141.5,30805.9,13.4
2024-07-08,17,Gas,4046.5,25132.8,16.1
2024-07-08,17,Waste,470.6,545.9,86.2
2024-07-08,17,Oil,280.4,554.7,50.5
2024-07-08,17,LoadShed,207.0,61603.9,0.3
2024-07-08,17,Slack,0.0,999900.0,0.0
2024-07-08,17,Biomass,0.0,3224.5,0.0
2024-07-08,17,Coal,0.0,2552.5,0.0
2024-07-08,17,Battery,-2490.6,9390.5,-26.5
2024-07-08,18,Solar,41713.3,98570.4,42.3
2024-07-08,18,Wind,5782.8,57409.2,10.1
2024-07-08,18,Nuclear,4827.4,6034.3,80.0
2024-07-08,18,Hydro,3463.3,30805.9,11.2
2024-07-08,18,Gas,3411.2,25132.8,13.6
2024-07-08,18,Waste,428.6,545.9,78.5
2024-07-08,18,Oil,215.3,554.7,38.8
2024-07-08,18,LoadShed,167.4,59864.1,0.3
2024-07-08,18,Slack,0.0,999900.0,0.0
2024-07-08,18,Biomass,0.0,3224.5,0.0
2024-07-08,18,Coal,0.0,2552.5,0.0
2024-07-08,18,Battery,-145.1,9390.5,-1.5
2024-07-08,19,Solar,42120.1,98570.4,42.7
2024-07-08,19,Wind,5246.2,57409.2,9.1
2024-07-08,19,Nuclear,4827.4,6034.3,80.0
2024-07-08,19,Hydro,3158.7,30805.9,10.3
2024-07-08,19,Gas,3092.1,25132.8,12.3
2024-07-08,19,Waste,476.9,545.9,87.4
2024-07-08,19,Oil,141.4,554.7,25.5
2024-07-08,19,LoadShed,95.5,56310.7,0.2
2024-07-08,19,Slack,0.0,999900.0,0.0
2024-07-08,19,Biomass,0.0,3224.5,0.0
2024-07-08,19,Coal,0.0,2552.5,0.0
2024-07-08,19,Battery,-2847.7,9390.5,-30.3
2024-07-08,20,Solar,27244.3,98570.4,27.6
2024-07-08,20,Hydro,14750.8,30805.9,47.9
2024-07-08,20,Nuclear,4827.4,6034.3,80.0
2024-07-08,20,Wind,4182.7,57409.2,7.3
2024-07-08,20,Gas,2478.7,25132.8,9.9
2024-07-08,20,Waste,389.8,545.9,71.4
2024-07-08,20,LoadShed,38.8,53493.2,0.1
2024-07-08,20,Oil,22.3,554.7,4.0
2024-07-08,20,Slack,0.0,999900.0,0.0
2024-07-08,20,Biomass,0.0,3224.5,0.0
2024-07-08,20,Coal,0.0,2552.5,0.0
2024-07-08,20,Battery,-441.6,9390.5,-4.7
2024-07-08,21,Wind,15474.8,57409.2,27.0
2024-07-08,21,Hydro,14577.1,30805.9,47.3
2024-07-08,21,Solar,8426.8,98570.4,8.5
2024-07-08,21,Nuclear,6034.3,6034.3,100.0
2024-07-08,21,Battery,3565.8,9390.5,38.0
2024-07-08,21,Gas,1649.1,25132.8,6.6
2024-07-08,21,Waste,389.8,545.9,71.4
2024-07-08,21,CrossBorder,226.8,226.8,100.0
2024-07-08,21,LoadShed,19.7,50364.0,0.0
2024-07-08,21,Slack,0.0,999900.0,0.0
2024-07-08,21,Biomass,0.0,3224.5,0.0
2024-07-08,21,Coal,0.0,2552.5,0.0
2024-07-08,21,Oil,0.0,554.7,0.0
2024-07-08,22,Wind,15613.1,57409.2,27.2
2024-07-08,22,Hydro,14602.3,30805.9,47.4
2024-07-08,22,Nuclear,6034.3,6034.3,100.0
2024-07-08,22,Battery,5582.1,9390.5,59.4
2024-07-08,22,Solar,3869.1,98570.4,3.9
2024-07-08,22,Gas,1771.0,25132.8,7.0
2024-07-08,22,CrossBorder,1136.5,1136.5,100.0
2024-07-08,22,Waste,389.8,545.9,71.4
2024-07-08,22,LoadShed,12.2,49010.4,0.0
2024-07-08,22,Slack,0.0,999900.0,0.0
2024-07-08,22,Biomass,0.0,3224.5,0.0
2024-07-08,22,Coal,0.0,2552.5,0.0
2024-07-08,22,Oil,0.0,554.7,0.0
