date,hour,load_mw,solar_mw,wind_mw
2024-07-08,0,38749.042685910994,2635.7333989066233,10261.482466017724
2024-07-08,1,37419.332929340555,3466.4591934528094,11197.92359539104
2024-07-08,2,35394.03198738883,3015.1551839159292,11560.358833751628
2024-07-08,3,34778.0676612387,3607.747587062449,10712.67030847277
2024-07-08,4,34516.62379559961,3937.2819181365508,10120.892029570203
2024-07-08,5,34683.35363808867,5276.237501430449,9920.296745680418
2024-07-08,6,37969.282522797526,3087.5227655510575,10077.037603690955
2024-07-08,7,42193.86314459296,9263.147083075724,9491.634642230092
2024-07-08,8,45921.76470509579,32728.24375196602,8253.936802579696
2024-07-08,9,50804.77039449848,62604.90337518725,8083.138423451372
2024-07-08,10,55453.778357971336,85751.9107658782,7115.018953285616
2024-07-08,11,59344.60758076129,91319.6304102678,6686.5794656876915
2024-07-08,12,60965.37073680998,91558.31636894008,8407.837016159712
2024-07-08,13,61665.6703805593,92267.97868527455,9968.549242348976
2024-07-08,14,63475.29135272977,93234.26193612756,11685.334243367637
2024-07-08,15,63814.8701329453,94380.63089852121,13333.039892897214
2024-07-08,16,63191.43977865116,92169.72591557159,13119.30351836435
2024-07-08,17,61551.6770808801,86398.33328605616,13472.640643382949
2024-07-08,18,59279.14953501455,76948.53648160693,16991.8510815365
2024-07-08,19,56511.77526461969,73488.2754923898,18650.57945474441
2024-07-08,20,53198.609742116016,20662.06752497114,17835.758446152802
2024-07-08,21,49966.58278811712,10423.946697459492,17424.063643907022
2024-07-08,22,49273.85036259138,3721.8057527778615,17271.395126988835
2024-07-08,23,46782.68187554719,4678.46697059226,17258.185321004003
2024-12-02,0,37856.941617591765,0.0,7919.913100709222
2024-12-02,1,35801.48260649315,0.0,8355.80681799927
2024-12-02,2,35474.42006233452,0.0,7336.638382808502
2024-12-02,3,34840.61369754022,0.0,7466.379777438072
2024-12-02,4,34587.2160550761,0.0,8450.326227735268
2024-12-02,5,35293.70891800948,0.0,9587.360525007156
2024-12-02,6,38816.3122929825,0.0,10980.019122063984
2024-12-02,7,43876.51805022198,0.0,9014.998704653346
2024-12-02,8,47963.89250196213,6774.706883369062,7761.435205751067
2024-12-02,9,51074.683158241634,18314.821998235602,6455.217776773812
2024-12-02,10,52398.12934217105,35919.252772925785,7746.886510608031
2024-12-02,11,52310.597743505896,49758.90763121023,4815.109222601114
2024-12-02,12,53621.89246193626,51620.96720705869,4140.639562484942
2024-12-02,13,53409.757047050676,49595.03605800361,4301.125851722461
2024-12-02,14,53279.60704434696,44999.49803643953,4588.733291663548
2024-12-02,15,52876.67940578951,35153.96155476498,5094.815140286697
2024-12-02,16,50280.814572451076,14361.404729345928,5275.361007144794
2024-12-02,17,51378.625628501395,0.0,6819.476015219047
2024-12-02,18,53400.75640838629,0.0,8799.446357921675
2024-12-02,19,54212.82122614165,0.0,9919.134655983726
2024-12-02,20,54938.637747204026,0.0,9026.188094900313
2024-12-02,21,54622.78879560449,0.0,8744.032074779416
2024-12-02,22,50874.37500844517,0.0,7151.6705560135615
2024-12-02,23,46157.04642888386,0.0,8129.2295754927545
