date,hour,branch_id,branch_name,from_bus,to_bus,flow_mw,flow_mvar,limit_mw,loading_pct
2024-07-08,2,664,LTGES0459a,387,896,27.03,0.0,2859.96,0.9
2024-07-08,2,912,LTGES0615a,466,266,-33.75,0.0,786.49,4.3
2024-07-08,2,1748,LTGES1150b,968,526,33.81,0.0,786.49,4.3
2024-07-08,2,1966,LTGES1291,1169,1168,-4.76,0.0,1429.98,0.3
2024-07-08,2,2321,TR_c51f01d1,117,118,-292.02,0.0,600.0,48.7
2024-07-08,2,1598,LTGES1052b,467,479,274.65,0.0,786.49,34.9
2024-07-08,2,2049,LTGES1353,666,406,-78.73,0.0,1429.98,5.5
2024-07-08,2,2275,TR_c5245018,217,218,-131.52,0.0,384.0,34.2
2024-07-08,2,2239,TR_6f82474d,596,597,-16.68,0.0,160.0,10.4
2024-07-08,2,1685,LTGES1113a,301,625,-0.68,0.0,786.49,0.1
2024-07-08,2,1990,LTGES1311,470,626,40.62,0.0,393.24,10.3
2024-07-08,2,598,LTGES0414,345,1064,-225.77,0.0,1429.98,15.8
2024-07-08,2,1318,LTGES0868a,527,558,16.25,0.0,786.49,2.1
2024-07-08,2,643,LTGES0445b,369,371,-6.73,0.0,786.49,0.9
2024-07-08,2,1052,LTGES0695a,923,922,23.3,0.0,786.49,3.0
2024-07-08,2,14,LTGES0009b,14,17,-162.12,0.0,2859.96,5.7
2024-07-08,2,167,LTGES0124a,160,714,44.88,0.0,2859.96,1.6
2024-07-08,2,1121,LTGES0741a,511,937,-18.85,0.0,786.49,2.4
2024-07-08,2,613,LTGES0427,359,75,-341.43,0.0,1429.98,23.9
2024-07-08,2,1556,LTGES1023,96,575,250.29,0.0,393.24,63.6
2024-07-08,2,96,LTGES0066a,44,38,-125.61,0.0,786.49,16.0
2024-07-08,2,2334,TR_585684a3,438,439,8.38,0.0,160.0,5.2
2024-07-08,2,456,LTGES0314,125,1119,24.88,0.0,393.24,6.3
2024-07-08,2,1078,LTGES0712b,502,192,-46.45,0.0,786.49,5.9
2024-07-08,2,1922,LTGES1259,691,46,207.37,0.0,1429.98,14.5
2024-07-08,2,257,LTGES0185,770,223,-292.55,0.0,1429.98,20.5
