Node,StorageType,Period,PWInstalledCap_MW,ENInstalledCap_MWh
France,HydroPumpStorage,1,5049.000007163492,184296.00000226268
France,HydroPumpStorage,2,6615.078149884263,184296.0000155079
France,HydroPumpStorage,3,6615.078210571174,184296.00002558925
France,HydroPumpStorage,4,6615.078211322392,184296.0000316636
France,HydroPumpStorage,5,6615.078245804752,184296.0000450673
France,HydroPumpStorage,6,6615.078254443697,184296.0000668939
France,HydroPumpStorage,7,6615.078257791784,184296.00008149925
France,Li-Ion_BESS,1,0.0010260391442464,0.0020520782884929
France,Li-Ion_BESS,2,219.34358516827703,438.68717033655406
France,Li-Ion_BESS,3,392.9327192371152,785.8654384742304
France,Li-Ion_BESS,4,392.9327209065026,785.8654418130052
France,Li-Ion_BESS,5,1431.3063950121273,2862.6127900242545
France,Li-Ion_BESS,6,13036.620683438305,26073.24136687661
France,Li-Ion_BESS,7,12863.031556487373,25726.063112974745
Portugal,HydroPumpStorage,1,2827.0000159020738,107254.0800094336
Portugal,HydroPumpStorage,2,3330.8508814939846,107254.08001159431
Portugal,HydroPumpStorage,3,3330.8508822600747,107254.08001801836
Portugal,HydroPumpStorage,4,3330.85088273242,107254.0800273622
Portugal,HydroPumpStorage,5,4240.499677705273,107254.08003816982
Portugal,HydroPumpStorage,6,4240.499682040581,107254.080046788
Portugal,HydroPumpStorage,7,4240.499682389615,107254.08005189116
Portugal,Li-Ion_BESS,1,0.0010998588992866,0.0021997177985732
Portugal,Li-Ion_BESS,2,0.0100337283035977,0.0200674566071955
Portugal,Li-Ion_BESS,3,0.0792068666166469,0.1584137332332939
Portugal,Li-Ion_BESS,4,0.0795866328053872,0.1591732656107744
Portugal,Li-Ion_BESS,5,1372.886561138643,2745.773122277286
Portugal,Li-Ion_BESS,6,2171.1741961475645,4342.348392295129
Portugal,Li-Ion_BESS,7,2171.105027630909,4342.210055261818
Spain,HydroPumpStorage,1,5693.0000017021175,1530150.9100033431
Spain,HydroPumpStorage,2,8539.499827611051,1530150.9101507368
Spain,HydroPumpStorage,3,8539.499828322076,1530150.9101785268
Spain,HydroPumpStorage,4,8539.49982844667,1530150.910240501
Spain,HydroPumpStorage,5,8539.499829950173,1530150.9103168068
Spain,HydroPumpStorage,6,8539.499829991359,1530150.9104091504
Spain,HydroPumpStorage,7,8539.499830145922,1530150.910582778
Spain,Li-Ion_BESS,1,0.001104129085837,0.0022082581716741
Spain,Li-Ion_BESS,2,6447.187406055385,12894.37481211077
Spain,Li-Ion_BESS,3,20753.122293769236,41506.24458753847
Spain,Li-Ion_BESS,4,21569.37669217401,43138.75338434801
Spain,Li-Ion_BESS,5,52232.793809985866,104465.58761997172
Spain,Li-Ion_BESS,6,118326.5862006104,236653.1724012208
Spain,Li-Ion_BESS,7,104020.65131747682,208041.30263495364
EU,HydroPumpStorage,1,44998.364044255606,795030.8553615853
EU,HydroPumpStorage,2,51121.7266148352,799515.6648666143
EU,HydroPumpStorage,3,51121.72664103327,799650.7988302117
EU,HydroPumpStorage,4,51121.72665164648,799650.7991027053
EU,HydroPumpStorage,5,51121.72667791462,799820.0216449649
EU,HydroPumpStorage,6,51121.72670396565,804083.4532148095
EU,HydroPumpStorage,7,51121.726742118095,804083.4534335115
EU,Li-Ion_BESS,1,0.0562517172114816,0.1125034344229646
EU,Li-Ion_BESS,2,62720.541402513576,125441.08280502715
EU,Li-Ion_BESS,3,63273.07511912475,126546.1502382495
EU,Li-Ion_BESS,4,63273.075232329626,126546.15046465925
EU,Li-Ion_BESS,5,132825.85523766567,265651.71047533135
EU,Li-Ion_BESS,6,348340.33198507933,696680.6639701587
EU,Li-Ion_BESS,7,355874.46371458395,711748.9274291679
