Node,GeneratorType,Period,InstalledCap_MW
Portugal,GasCCS,7,0.0014186639983802
Portugal,GasOCGT,1,886.5400028118149
Portugal,GasOCGT,2,758.7621272482266
Portugal,GasOCGT,3,689.6528358159767
Portugal,GasOCGT,4,694.0227249095526
Portugal,GasOCGT,5,346.80582179082205
Portugal,GasOCGT,6,0.009373580552477
Portugal,GasOCGT,7,0.0096385704121036
Portugal,Geo,1,74.99997207687096
Portugal,Geo,2,74.99997217208677
Portugal,Geo,3,74.99997213459616
Portugal,Geo,4,74.99997210181267
Portugal,Geo,5,74.99997207904156
Portugal,Geo,6,74.99997208343027
Portugal,Geo,7,74.9999435142449
Portugal,Hydroregulated,1,1629.0000022659735
Portugal,Hydroregulated,2,1629.0000042742302
Portugal,Hydroregulated,3,1629.000005607507
Portugal,Hydroregulated,4,1629.0000086787593
Portugal,Hydroregulated,5,1629.0000107706671
Portugal,Hydroregulated,6,1629.000013907065
Portugal,Hydroregulated,7,1629.0000163930897
Portugal,Hydrorun-of-the-river,1,2855.5000068572945
Portugal,Hydrorun-of-the-river,2,6399.305986834445
Portugal,Hydrorun-of-the-river,3,6399.305372393399
Portugal,Hydrorun-of-the-river,4,6399.305662997255
Portugal,Hydrorun-of-the-river,5,6399.3057072136535
Portugal,Hydrorun-of-the-river,6,6399.305723822622
Portugal,Hydrorun-of-the-river,7,13366.734142975783
Portugal,Nuclear,1,9.401668879896016e-05
Portugal,Nuclear,2,0.0001876456357562
Portugal,Nuclear,3,0.0001887146058605
Portugal,Nuclear,4,0.0002471848249546
Portugal,Nuclear,5,0.0003483693747726
Portugal,Nuclear,6,0.0004742340792178
Portugal,Nuclear,7,0.0005788373275568
Portugal,Oil,1,3.512517237141963e-05
Portugal,Oil,2,4.398000672694624e-05
Portugal,Oil,3,5.9500386359352886e-05
Portugal,Oil,4,8.153993484387376e-05
Portugal,Oil,5,9.782352414417442e-05
Portugal,Oil,6,0.0001362389525578
Portugal,Oil,7,0.0001681545516695
Portugal,Solar,1,7466.125133834131
Portugal,Solar,2,11396.520305809549
Portugal,Solar,3,11050.575172766115
Portugal,Solar,4,10688.375798002964
Portugal,Solar,5,13060.426790736348
Portugal,Solar,6,21342.763157923797
Portugal,Solar,7,21030.76234777312
Portugal,Waste,1,0.0
Portugal,Waste,2,0.0
Portugal,Waste,3,0.0
Portugal,Waste,4,0.0
Portugal,Waste,5,0.0
Portugal,Waste,6,0.0
Portugal,Waste,7,0.0
Portugal,Wave,1,8.295614496430405e-05
Portugal,Wave,2,299.9999417057204
Portugal,Wave,3,299.99994133559386
Portugal,Wave,4,299.99994768338416
Portugal,Wave,5,299.99996945756214
Portugal,Wave,6,299.99997235852544
Portugal,Wave,7,299.9999731485032
Portugal,Windoffshorefloating,1,0.0
Portugal,Windoffshorefloating,2,0.0
Portugal,Windoffshorefloating,3,0.0
Portugal,Windoffshorefloating,4,0.0
Portugal,Windoffshorefloating,5,0.0
Portugal,Windoffshorefloating,6,0.0
Portugal,Windoffshorefloating,7,0.0
Portugal,Windoffshoregrounded,1,25.0
Portugal,Windoffshoregrounded,2,25.0
Portugal,Windoffshoregrounded,3,25.0
Portugal,Windoffshoregrounded,4,25.0
Portugal,Windoffshoregrounded,5,25.0
Portugal,Windoffshoregrounded,6,25.0
Portugal,Windoffshoregrounded,7,0.0
Portugal,Windonshore,1,5332.800001567745
Portugal,Windonshore,2,5065.768341276906
Portugal,Windonshore,3,3536.620490480137
Portugal,Windonshore,4,6625.455071298581
Portugal,Windonshore,5,9783.41788990661
Portugal,Windonshore,6,9177.078562603863
Portugal,Windonshore,7,18545.35173123523
Spain,Bio,1,707.5000023310068
Spain,Bio,2,593.9238207533001
Spain,Bio,3,531.158722465673
Spain,Bio,4,495.0519891203377
Spain,Bio,5,403.3572056756401
Spain,Bio,6,273.7953036284074
Spain,Bio,7,273.7953171829288
Spain,BioCCS,1,38.1998698237264
Spain,BioCCS,2,216.79978399566784
Spain,BioCCS,3,1846.0994804734075
Spain,BioCCS,4,3365.4632446769488
Spain,BioCCS,5,3365.463245260989
Spain,BioCCS,6,3365.463266936815
Spain,BioCCS,7,6103.66326190532
Spain,Coal,1,3222.600000291125
Spain,Coal,2,2552.511017287723
Spain,Coal,3,1691.8043935008343
Spain,Coal,4,1311.8489429111848
Spain,Coal,5,1228.4337120648954
Spain,Coal,6,843.2149221448204
Spain,Coal,7,843.2149389795911
Spain,CoalCCS,1,6.431701058399127e-05
Spain,CoalCCS,2,6.448376270728504e-05
Spain,CoalCCS,3,0.0001975944237246
Spain,CoalCCS,4,0.0004828276445955
Spain,CoalCCS,5,0.0006656676182287
Spain,CoalCCS,6,0.0013951316527011
Spain,CoalCCS,7,0.0013969877910009
Spain,GasCCGT,1,23898.240017166543
Spain,GasCCGT,2,20020.633210107208
Spain,GasCCGT,3,18320.21822321588
Spain,GasCCGT,4,17437.617036361225
Spain,GasCCGT,5,8718.948300343925
Spain,GasCCGT,6,0.0079469338936784
Spain,GasCCGT,7,1788.2240218972104
Spain,GasCCS,1,6.475518924560229e-05
Spain,GasCCS,2,6.491266243245933e-05
Spain,GasCCS,3,0.0001799454763893
Spain,GasCCS,4,0.000441437754346
Spain,GasCCS,5,0.0005794455248199
Spain,GasCCS,6,0.0019355043260003
Spain,GasCCS,7,0.0019384038257215
Spain,GasOCGT,1,5974.560006948793
Spain,GasOCGT,2,5113.440809033087
Spain,GasOCGT,3,4647.700207361884
Spain,GasOCGT,4,4677.149646348949
Spain,GasOCGT,5,2337.1894865194126
Spain,GasOCGT,6,19273.61666838873
Spain,GasOCGT,7,19273.622333711097
Spain,Hydroregulated,1,15771.400002315568
Spain,Hydroregulated,2,15771.400011301625
Spain,Hydroregulated,3,15771.40001643988
Spain,Hydroregulated,4,15771.400025816569
Spain,Hydroregulated,5,15771.4000333018
Spain,Hydroregulated,6,15771.40004544078
Spain,Hydroregulated,7,15771.400050116945
Spain,Hydrorun-of-the-river,1,5075.346627629276
Spain,Hydrorun-of-the-river,2,8644.94716949256
Spain,Hydrorun-of-the-river,3,8644.947177041126
Spain,Hydrorun-of-the-river,4,9242.07717306916
Spain,Hydrorun-of-the-river,5,9242.077175769651
Spain,Hydrorun-of-the-river,6,9518.080153558836
Spain,Hydrorun-of-the-river,7,9518.080219725927
Spain,Lignite,1,0.000154458505421
Spain,Lignite,2,0.0001908753926676
Spain,Lignite,3,0.0003403377285202
Spain,Lignite,4,0.0005748008524146
Spain,Lignite,5,0.0005904526788657
Spain,Lignite,6,0.0012658891441984
Spain,Lignite,7,0.0016428213256659
Spain,Nuclear,1,7117.20000210619
Spain,Nuclear,2,6380.259652576215
Spain,Nuclear,3,6424.207275169825
Spain,Nuclear,4,5853.661651264433
Spain,Nuclear,5,5284.09399993052
Spain,Nuclear,6,3614.887799114832
Spain,Nuclear,7,2592.1285695852066
Spain,Oil,1,703.7000000134174
Spain,Oil,2,554.7228874259927
Spain,Oil,3,387.07179803890665
Spain,Oil,4,197.41360804673835
Spain,Oil,5,177.67918316325418
Spain,Oil,6,155.16874734881577
Spain,Oil,7,0.0001742133291694
Spain,Solar,1,36926.39533354238
Spain,Solar,2,64252.89493814354
Spain,Solar,3,79381.70360607858
Spain,Solar,4,92067.68822427586
Spain,Solar,5,109540.8694292288
Spain,Solar,6,153793.1633676539
Spain,Solar,7,172847.66713703074
Spain,Waste,1,545.900000970511
Spain,Waste,2,545.9000009473352
Spain,Waste,3,545.900001283669
Spain,Waste,4,713.9998610732672
Spain,Waste,5,168.09986154204756
Spain,Waste,6,713.9998153526508
Spain,Waste,7,713.9999006116151
Spain,Windoffshorefloating,1,0.0
Spain,Windoffshorefloating,2,0.0
Spain,Windoffshorefloating,3,0.0
Spain,Windoffshorefloating,4,0.0
Spain,Windoffshorefloating,5,0.0
Spain,Windoffshorefloating,6,0.0
Spain,Windoffshorefloating,7,0.0
Spain,Windoffshoregrounded,1,0.0
Spain,Windoffshoregrounded,2,0.0
Spain,Windoffshoregrounded,3,0.0
Spain,Windoffshoregrounded,4,0.0
Spain,Windoffshoregrounded,5,0.0
Spain,Windoffshoregrounded,6,0.0
Spain,Windoffshoregrounded,7,0.0
Spain,Windonshore,1,34217.2388516829
Spain,Windonshore,2,47456.53256250781
Spain,Windonshore,3,53163.691293145166
Spain,Windonshore,4,64284.71796787343
Spain,Windonshore,5,58252.85871435948
Spain,Windonshore,6,66538.18792160825
Spain,Windonshore,7,92582.14545892391
EU,Bio,1,30073.760878834782
EU,Bio,2,26168.623680701978
EU,Bio,3,23500.662559911518
EU,Bio,4,21965.870746999983
EU,Bio,5,18068.193224006234
EU,Bio,6,12560.89509787019
EU,Bio,7,12560.896167118008
EU,BioCCS,1,2162.5819669986167
EU,BioCCS,2,7539.8116767954225
EU,BioCCS,3,17217.638439033297
EU,BioCCS,4,35124.444457315294
EU,BioCCS,5,46698.18210440895
EU,BioCCS,6,71800.00132048075
EU,BioCCS,7,121273.0830862821
EU,Coal,1,56669.85119706199
EU,Coal,2,44886.24812455356
EU,Coal,3,29750.610086122506
EU,Coal,4,23069.04679652651
EU,Coal,5,21602.180981104724
EU,Coal,6,14828.059768897905
EU,Coal,7,14828.063028739132
EU,CoalCCS,1,0.0010112724802505422
EU,CoalCCS,2,0.0010145067153703613
EU,CoalCCS,3,0.0030452966249338
EU,CoalCCS,4,0.0055778886323122
EU,CoalCCS,5,0.0214099284642798
EU,CoalCCS,6,0.0373097709958412
EU,CoalCCS,7,0.0373308309959872
EU,GasCCGT,1,146830.31305203322
EU,GasCCGT,2,123249.88191530615
EU,GasCCGT,3,113598.80528069528
EU,GasCCGT,4,108359.69127606631
EU,GasCCGT,5,81480.81715139402
EU,GasCCGT,6,42114.027829443134
EU,GasCCGT,7,54288.10312527175
EU,GasCCS,1,0.0015465915084803385
EU,GasCCS,2,0.0015496446499787691
EU,GasCCS,3,0.0042792294141391
EU,GasCCS,4,0.0081488896639894
EU,GasCCS,5,0.0235747820182694
EU,GasCCS,6,0.0577921593111329
EU,GasCCS,7,0.0578166450281941
EU,GasOCGT,1,32535.829050634944
EU,GasOCGT,2,29346.804878501534
EU,GasOCGT,3,69889.29305899977
EU,GasOCGT,4,82004.8442087831
EU,GasOCGT,5,88000.50832361485
EU,GasOCGT,6,103982.37372506244
EU,GasOCGT,7,110483.10621484337
EU,Geo,1,1523.3997985542214
EU,Geo,2,1523.3997996496848
EU,Geo,3,1523.3997992977745
EU,Geo,4,1523.399798946322
EU,Geo,5,1523.3997986388783
EU,Geo,6,1523.3997984940086
EU,Geo,7,1496.399566092265
EU,Hydroregulated,1,70364.30062338231
EU,Hydroregulated,2,71784.43964171223
EU,Hydroregulated,3,71784.43970456235
EU,Hydroregulated,4,71784.44082367388
EU,Hydroregulated,5,71784.44087365312
EU,Hydroregulated,6,71791.23573156961
EU,Hydroregulated,7,73816.07917896139
EU,Hydrorun-of-the-river,1,69657.80435412703
EU,Hydrorun-of-the-river,2,80607.62659659857
EU,Hydrorun-of-the-river,3,80607.62658187012
EU,Hydrorun-of-the-river,4,80607.62655829152
EU,Hydrorun-of-the-river,5,80607.62685934981
EU,Hydrorun-of-the-river,6,83218.2203087992
EU,Hydrorun-of-the-river,7,83220.34784810184
EU,Lignite,1,52316.560412903076
EU,Lignite,2,32369.451307412644
EU,Lignite,3,28390.541910300624
EU,Lignite,4,23749.074138482476
EU,Lignite,5,22720.588196950957
EU,Lignite,6,24175.85355541412
EU,Lignite,7,24175.854423464403
EU,LigniteCCS,1,0.00043549766690968304
EU,LigniteCCS,2,0.000437614422777221
EU,LigniteCCS,3,0.0012488980970147548
EU,LigniteCCS,4,0.002294662207114071
EU,LigniteCCS,5,0.007867614634979038
EU,LigniteCCS,6,0.013382580905714363
EU,LigniteCCS,7,0.01339189371478111
EU,Nuclear,1,35259.601894200925
EU,Nuclear,2,31608.70056426529
EU,Nuclear,3,31826.423328635137
EU,Nuclear,4,28999.861180172666
EU,Nuclear,5,26178.145787998044
EU,Nuclear,6,17908.667783099292
EU,Nuclear,7,12841.779310617272
EU,Oil,1,11028.140324599639
EU,Oil,2,8693.423276686743
EU,Oil,3,6066.05426144557
EU,Oil,4,3093.7976569136936
EU,Oil,5,2784.5268676331316
EU,Oil,6,2431.7514367539015
EU,Oil,7,0.0034544334912889997
EU,Solar,1,262458.2597895176
EU,Solar,2,394115.4937641092
EU,Solar,3,452370.4354634903
EU,Solar,4,502091.82204328943
EU,Solar,5,600954.8314553227
EU,Solar,6,836739.5494002134
EU,Solar,7,1034046.2290757612
EU,Waste,1,5402.936443541785
EU,Waste,2,5547.047584732348
EU,Waste,3,6084.046428919034
EU,Waste,4,6084.050271821253
EU,Waste,5,5222.698102882315
EU,Waste,6,5222.697985791949
EU,Waste,7,5222.698195249314
EU,Wave,1,8.000164183672526
EU,Wave,2,1601.9997655949055
EU,Wave,3,1601.9998072356018
EU,Wave,4,1601.999808301082
EU,Wave,5,1601.999833532548
EU,Wave,6,1601.9998771466371
EU,Wave,7,1601.9998832305985
EU,Windoffshorefloating,1,0.0006900619431255058
EU,Windoffshorefloating,2,0.0015090527880299
EU,Windoffshorefloating,3,0.0019259744430398
EU,Windoffshorefloating,4,0.0030189412520764
EU,Windoffshorefloating,5,0.005330651906641
EU,Windoffshorefloating,6,0.008930815533302
EU,Windoffshorefloating,7,4198.275022384885
EU,Windoffshoregrounded,1,54308.25027503376
EU,Windoffshoregrounded,2,154910.95768744615
EU,Windoffshoregrounded,3,160115.31974897478
EU,Windoffshoregrounded,4,193892.94873450894
EU,Windoffshoregrounded,5,193892.95093625912
EU,Windoffshoregrounded,6,196974.95579697491
EU,Windoffshoregrounded,7,184321.8928551471
EU,Windonshore,1,211802.95649049213
EU,Windonshore,2,286551.4338849153
EU,Windonshore,3,288789.2385509283
EU,Windonshore,4,302026.90240420913
EU,Windonshore,5,402282.9804014389
EU,Windonshore,6,405882.9300507046
EU,Windonshore,7,437563.86725686636
