date,hour,gen_id,fuel,technology,dispatch_mw
2024-07-08,22,G0473,Solar,Solar Thermal,3.66
2024-07-08,22,G0008,Solar,Solar Thermal,3.65
2024-07-08,22,G0495,Solar,Solar Thermal,3.65
2024-07-08,22,G0606,Solar,Solar Thermal,3.65
2024-07-08,22,G0764,Solar,Solar Thermal,3.65
2024-07-08,22,G0427,Solar,Solar Thermal,3.65
2024-07-08,22,G0405,Solar,Solar Thermal,3.65
2024-07-08,22,G0609,Solar,Solar Thermal,3.65
2024-07-08,22,G0722,Solar,Solar Thermal,3.65
2024-07-08,22,G0864,Solar,Solar Thermal,3.65
2024-07-08,22,G0605,Solar,Solar Thermal,3.65
2024-07-08,22,G0828,Solar,Solar Thermal,3.65
2024-07-08,22,G0865,Solar,Solar Thermal,3.65
2024-07-08,22,G0863,Solar,Solar Thermal,3.65
2024-07-08,22,G0822,Solar,PV,3.58
2024-07-08,22,G0186,Solar,PV,3.55
2024-07-08,22,G0400,Solar,PV,3.52
2024-07-08,22,G0541,Solar,PV,3.47
2024-07-08,22,G0196,Solar,PV,3.41
2024-07-08,22,G0949,Hydro,run_of_river,3.39
2024-07-08,22,G0774,Solar,PV,3.36
2024-07-08,22,G0636,Solar,PV,3.35
2024-07-08,22,G0682,Solar,Solar Thermal,3.3
2024-07-08,22,G0433,Solar,PV,3.24
2024-07-08,22,G0052,Solar,PV,3.18
2024-07-08,22,G0025,Solar,PV,3.03
2024-07-08,22,G0237,Solar,PV,3.01
2024-07-08,22,G0265,Solar,PV,3.0
2024-07-08,22,G0665,Solar,PV,2.95
2024-07-08,22,G0316,Solar,PV,2.7
2024-07-08,22,G0013,Solar,PV,2.66
2024-07-08,22,G0825,Solar,PV,2.62
2024-07-08,22,G0557,Solar,PV,2.6
2024-07-08,22,G0810,Solar,PV,2.56
2024-07-08,22,G0051,Solar,PV,2.47
2024-07-08,22,G0836,Solar,PV,2.46
2024-07-08,22,G0820,Solar,PV,2.45
2024-07-08,22,G0207,Solar,PV,2.41
2024-07-08,22,G0291,Solar,PV,2.38
2024-07-08,22,G0194,Solar,PV,2.38
2024-07-08,22,G0799,Solar,PV,2.37
2024-07-08,22,G0423,Solar,PV,2.35
2024-07-08,22,G0677,Solar,PV,2.34
2024-07-08,22,G0966,Hydro,run_of_river,2.25
2024-07-08,22,G0243,Solar,Solar Thermal,2.19
2024-07-08,22,G0126,Solar,PV,2.19
2024-07-08,22,G0082,Solar,PV,2.19
2024-07-08,22,G0522,Solar,PV,2.19
2024-07-08,22,G0330,Solar,PV,2.19
2024-07-08,22,G0178,Solar,Solar Thermal,2.19
