date,hour,gen_id,fuel,technology,dispatch_mw
2024-07-08,11,LS_ES00519,LoadShed,LoadShed,0.0
2024-07-08,11,G0744,Wind,Onshore,0.0
2024-07-08,11,LS_ES00590,LoadShed,LoadShed,0.0
2024-07-08,11,G0645,Wind,Onshore,0.0
2024-07-08,11,LS_ES00118,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00815,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00141,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00230,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01247,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00059,LoadShed,LoadShed,0.0
2024-07-08,11,G0532,Wind,Onshore,0.0
2024-07-08,11,G0434,Wind,Onshore,0.0
2024-07-08,11,LS_ES00936,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00041,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00393,LoadShed,LoadShed,0.0
2024-07-08,11,G0735,Wind,Onshore,0.0
2024-07-08,11,LS_ES00598,LoadShed,LoadShed,0.0
2024-07-08,11,G0259,Gas,Combined_cycle,0.0
2024-07-08,11,G0152,Wind,Onshore,0.0
2024-07-08,11,LS_ES00808,LoadShed,LoadShed,0.0
2024-07-08,11,G0891,Wind,Onshore,0.0
2024-07-08,11,LS_ES00743,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00404,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00876,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00121,LoadShed,LoadShed,0.0
2024-07-08,11,G0540,Wind,Onshore,0.0
2024-07-08,11,LS_ES00256,LoadShed,LoadShed,0.0
2024-07-08,11,G0903,Wind,Onshore,0.0
2024-07-08,11,LS_ES01115,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00549,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00926,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01127,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00731,LoadShed,LoadShed,0.0
2024-07-08,11,G0711,Wind,Onshore,0.0
2024-07-08,11,LS_ES00476,LoadShed,LoadShed,0.0
2024-07-08,11,G0436,Wind,Onshore,0.0
2024-07-08,11,LS_ES00038,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00274,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00923,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00587,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00791,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00679,LoadShed,LoadShed,0.0
2024-07-08,11,G0504,Gas,Gas_turbine,0.0
2024-07-08,11,LS_ES01254,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00284,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00027,LoadShed,LoadShed,0.0
2024-07-08,11,G0130,Wind,Onshore,0.0
2024-07-08,11,G0439,Wind,Onshore,0.0
2024-07-08,11,LS_ES00683,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00472,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00440,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00802,LoadShed,LoadShed,0.0
