date,hour,branch_id,branch_name,from_bus,to_bus,flow_mw,flow_mvar,limit_mw,loading_pct
2024-07-08,0,2165,LTGES1443b,1236,638,174.84,-27.18,7149.91,2.5
2024-07-08,0,550,LTGES0381b,817,815,-2.17,-0.09,676.75,0.3
2024-07-08,0,341,LTGES0236a,257,757,4.25,0.35,676.75,0.6
2024-07-08,0,664,LTGES0459a,387,896,3.1,-7.09,7149.91,0.1
2024-07-08,0,912,LTGES0615a,466,266,-2.97,-13.0,1966.22,0.7
2024-07-08,0,1748,LTGES1150b,968,526,-50.14,-2.46,1966.22,2.6
2024-07-08,0,1966,LTGES1291,1169,1168,-4.66,-3.33,7149.91,0.1
2024-07-08,0,2321,TR_23eddb22,757,758,-2.63,1.58,800.0,0.4
2024-07-08,0,1598,LTGES1052b,467,479,191.49,-28.75,1966.22,9.8
2024-07-08,0,2049,LTGES1353,666,406,-90.33,8.41,7149.91,1.3
2024-07-08,0,2275,TR_7644f0c2,97,98,-137.73,-21.13,1920.0,7.3
2024-07-08,0,2239,TR_9925636e,192,193,-112.65,-7.52,1920.0,5.9
2024-07-08,0,1685,LTGES1113a,301,625,0.15,-1.82,1966.22,0.1
2024-07-08,0,1990,LTGES1311,470,626,66.1,-29.08,1966.22,3.7
2024-07-08,0,598,LTGES0414,345,1064,-119.85,-4.05,7149.91,1.7
2024-07-08,0,1318,LTGES0868a,527,558,15.92,-0.49,1966.22,0.8
2024-07-08,0,643,LTGES0445b,369,371,-16.09,-0.79,1966.22,0.8
2024-07-08,0,1052,LTGES0695a,923,922,0.53,0.11,1966.22,0.0
2024-07-08,0,14,LTGES0009b,14,17,-182.99,-65.2,7149.91,2.7
2024-07-08,0,167,LTGES0124a,160,714,-20.23,4.41,7149.91,0.3
2024-07-08,0,1121,LTGES0741a,511,937,-38.17,1.27,1966.22,1.9
2024-07-08,0,613,LTGES0427,359,75,-162.99,-1.3,7149.91,2.3
2024-07-08,0,1556,LTGES1023,96,575,100.97,-15.27,1966.22,5.2
2024-07-08,0,96,LTGES0066a,44,38,-63.76,-3.54,1966.22,3.2
2024-07-08,0,2334,TR_9e433286,366,367,71.56,-4.43,800.0,9.0
2024-07-08,0,456,LTGES0314,125,1119,-217.55,29.71,1966.22,11.2
2024-07-08,0,1078,LTGES0712b,502,192,-0.3,-1.08,1966.22,0.1
2024-07-08,0,1922,LTGES1259,691,46,182.94,-27.33,7149.91,2.6
2024-07-08,0,257,LTGES0185,770,223,-223.18,-12.47,7149.91,3.1
2024-07-08,0,510,LTGES0354,801,802,75.76,-9.54,1966.22,3.9
2024-07-08,0,19,LTGES0012a,1065,22,34.85,3.86,1966.22,1.8
2024-07-08,0,1754,LTGES1154b,146,140,128.94,-2.79,1966.22,6.6
2024-07-08,0,2013,LTGES1327c,142,679,43.59,-1.06,1966.22,2.2
2024-07-08,0,2166,LTGES1444,1050,711,75.96,-12.27,1966.22,3.9
2024-07-08,0,673,LTGES0464a,835,836,41.94,-0.4,1966.22,2.1
2024-07-08,0,1502,LTGES0988a,734,586,56.46,1.35,1966.22,2.9
2024-07-08,0,925,LTGES0622a,467,385,-262.51,46.67,1966.22,13.6
2024-07-08,0,1824,LTGES1200,634,1121,-39.96,19.73,1966.22,2.3
2024-07-08,0,2181,TR_0490c2aa,109,110,64.35,-10.7,1200.0,5.4
2024-07-08,0,2287,TR_41fc927f,272,273,-126.56,-3.4,1920.0,6.6
2024-07-08,0,2190,TR_0e0d82af,127,128,-197.55,22.68,12000.0,1.7
2024-07-08,0,2127,LTGES1412b,666,403,44.57,-7.88,7149.91,0.6
2024-07-08,0,1785,LTGES1176,1112,624,-0.27,-0.17,1966.22,0.0
2024-07-08,0,2288,TR_cdc06a8b,63,64,153.38,-35.78,3000.0,5.2
2024-07-08,0,197,LTGES0142b,129,88,39.19,-18.14,1966.22,2.2
2024-07-08,0,1545,LTGES1016b,600,436,18.76,-15.38,1966.22,1.2
2024-07-08,0,401,LTGES0274,287,285,-58.28,-1.31,1966.22,3.0
2024-07-08,0,1804,LTGES1184b,610,423,36.98,-0.29,1966.22,1.9
2024-07-08,0,276,LTGES0201b,863,3,28.43,-4.33,1966.22,1.5
2024-07-08,0,778,LTGES0538b,373,433,240.18,-49.48,7149.91,3.4
2024-07-08,0,2204,TR_65fab876,180,181,23.6,0.64,800.0,3.0
2024-07-08,0,1973,LTGES1297b,660,411,69.17,0.18,1966.22,3.5
2024-07-08,0,21,LTGES0013a,18,1085,82.79,0.9,1966.22,4.2
2024-07-08,0,2096,LTGES1388b,1179,661,-0.05,-0.07,1966.22,0.0
2024-07-08,0,244,LTGES0173b,731,963,-16.23,43.38,1966.22,2.4
2024-07-08,0,83,LTGES0056,91,831,-130.3,4.46,1966.22,6.6
2024-07-08,0,582,LTGES0405a,273,345,-11.07,-24.89,7149.91,0.4
2024-07-08,0,1043,LTGES0688b,920,487,5.74,0.84,1966.22,0.3
2024-07-08,0,2084,LTGES1381a,702,105,-45.19,-0.55,1966.22,2.3
2024-07-08,0,2011,LTGES1327a,142,679,43.59,-1.06,1966.22,2.2
2024-07-08,0,868,LTGES0588b,772,457,-9.6,8.25,7149.91,0.2
2024-07-08,0,2097,LTGES1389,1216,411,36.06,2.51,1966.22,1.8
2024-07-08,0,2025,LTGES1334b,1220,1186,-24.06,-1.93,1966.22,1.2
2024-07-08,0,558,LTGES0386b,823,814,29.53,0.01,1966.22,1.5
2024-07-08,0,1540,LTGES1014a,73,1033,27.46,-0.81,1966.22,1.4
2024-07-08,0,1974,LTGES1298,659,463,94.22,-1.49,1966.22,4.8
2024-07-08,0,1938,LTGES1268b,415,1066,0.08,-0.06,676.75,0.0
2024-07-08,0,871,LTGES0590b,277,952,139.78,-9.46,7149.91,2.0
2024-07-08,0,1615,LTGES1064b,24,296,74.73,2.68,1966.22,3.8
2024-07-08,0,3,LTGES0002a,729,1086,-24.3,0.06,1966.22,1.2
2024-07-08,0,545,LTGES0378b,333,34,-66.57,4.32,1966.22,3.4
2024-07-08,0,81,LTGES0055a,87,88,-46.52,0.64,1966.22,2.4
2024-07-08,0,1968,LTGES1293,658,1180,2.99,-1.5,1966.22,0.2
2024-07-08,0,987,LTGES0658,478,84,-97.36,-22.66,7149.91,1.4
2024-07-08,0,2202,TR_28414610,155,156,1683.31,-93.33,15000.0,11.2
2024-07-08,0,2276,TR_737e7f53,65,66,38.87,-0.93,800.0,4.9
2024-07-08,0,1516,LTGES0997,138,135,-97.7,2.71,1966.22,5.0
2024-07-08,0,964,LTGES0646,1079,475,-80.17,-1.8,1966.22,4.1
2024-07-08,0,751,LTGES0519a,856,1138,-0.62,-0.2,1966.22,0.0
2024-07-08,0,2327,TR_f70b66d0,232,233,-6.8,0.85,800.0,0.9
2024-07-08,0,2163,LTGES1442,214,1195,49.45,-13.32,1966.22,2.6
2024-07-08,0,1070,LTGES0708a,924,175,-59.18,-3.65,1966.22,3.0
2024-07-08,0,1169,LTGES0769a,420,225,-4.89,-12.88,1966.22,0.7
2024-07-08,0,1493,LTGES0982a,1021,1020,33.7,-0.37,1966.22,1.7
2024-07-08,0,1019,LTGES0674d,909,911,-38.69,0.97,1966.22,2.0
2024-07-08,0,1684,LTGES1112b,624,1111,-12.5,-0.56,1966.22,0.6
2024-07-08,0,2259,TR_3d81e7e0,682,683,-83.28,0.01,800.0,10.4
2024-07-08,0,2196,TR_a6bded06,8,9,-141.34,-13.31,3780.0,3.8
2024-07-08,0,1334,LTGES0879,223,737,-98.29,-7.2,7149.91,1.4
2024-07-08,0,1897,LTGES1244a,1078,620,-181.17,-19.88,7149.91,2.5
2024-07-08,0,303,LTGES0218a,238,241,824.91,-65.16,7149.91,11.6
2024-07-08,0,1434,LTGES0942b,851,573,177.75,1.9,7149.91,2.5
2024-07-08,0,2001,LTGES1320a,421,1230,1.06,-0.76,1966.22,0.1
2024-07-08,0,1710,LTGES1126,960,139,45.19,-13.6,1966.22,2.4
2024-07-08,0,1210,LTGES0797a,181,726,5.35,-1.2,7149.91,0.1
2024-07-08,0,2203,TR_2087835e,164,165,1.17,1.35,800.0,0.2
2024-07-08,0,704,LTGES0482b,403,705,-49.77,10.34,7149.91,0.7
2024-07-08,0,1882,LTGES1234b,448,621,-37.64,-0.5,1966.22,1.9
2024-07-08,0,1837,LTGES1207d,638,1131,70.49,-5.75,7149.91,1.0
2024-07-08,0,2186,TR_b0d59f98,153,154,33.5,-13.81,800.0,4.5
2024-07-08,0,1468,LTGES0962,427,852,16.77,-2.15,1966.22,0.9
2024-07-08,0,117,LTGES0082b,114,116,-17.46,5.52,1966.22,0.9
2024-07-08,0,1166,LTGES0767b,432,420,75.78,-8.96,1966.22,3.9
2024-07-08,0,1864,LTGES1223b,643,645,95.84,-5.19,7149.91,1.3
2024-07-08,0,1050,LTGES0694a,1063,489,-5.36,-0.49,1966.22,0.3
2024-07-08,0,1423,LTGES0935a,93,699,-235.73,21.81,1966.22,12.0
2024-07-08,0,1542,LTGES1015a,225,600,90.93,-18.51,1966.22,4.7
2024-07-08,0,499,LTGES0346,318,319,30.46,0.21,1966.22,1.5
2024-07-08,0,1432,LTGES0941,98,851,-78.88,-19.25,7149.91,1.1
2024-07-08,0,1145,LTGES0754b,1038,487,48.86,-7.78,1966.22,2.5
2024-07-08,0,852,LTGES0577a,210,880,9.93,-2.84,1966.22,0.5
2024-07-08,0,2083,LTGES1380b,768,274,-2.1,1.32,7149.91,0.0
2024-07-08,0,182,LTGES0133b,21,156,-345.28,-37.23,7149.91,4.9
2024-07-08,0,176,LTGES0129,163,165,124.46,-18.46,1966.22,6.4
2024-07-08,0,1199,LTGES0791a,694,525,-20.17,-0.38,1966.22,1.0
2024-07-08,0,1675,LTGES1105b,142,1142,1.94,-0.44,1966.22,0.1
2024-07-08,0,894,LTGES0604c,280,892,40.18,-1.99,1966.22,2.0
2024-07-08,0,1231,LTGES0808,529,1140,-127.69,23.2,1966.22,6.6
2024-07-08,0,1939,LTGES1269a,572,416,24.36,-2.16,1966.22,1.2
2024-07-08,0,1720,LTGES1132a,182,627,-33.45,0.82,1966.22,1.7
2024-07-08,0,1758,LTGES1156a,599,485,-80.49,0.1,1966.22,4.1
2024-07-08,0,2289,TR_9af01115,344,345,31.26,14.93,3000.0,1.2
2024-07-08,0,1083,LTGES0715a,927,504,39.93,-1.35,1966.22,2.0
2024-07-08,0,1780,LTGES1172,1106,272,-147.98,0.23,1966.22,7.5
2024-07-08,0,554,LTGES0384,820,336,16.59,3.0,1966.22,0.9
2024-07-08,0,623,LTGES0433a,1145,350,223.15,-26.97,7149.91,3.1
2024-07-08,0,249,LTGES0178,876,879,140.82,-16.92,1966.22,7.2
2024-07-08,0,485,LTGES0335,313,799,8.75,-1.44,1966.22,0.5
2024-07-08,0,2179,TR_10cbc112,475,476,-114.66,-22.22,1920.0,6.1
2024-07-08,0,636,LTGES0441,833,204,-264.83,6.38,1966.22,13.5
2024-07-08,0,1736,LTGES1143a,1094,939,-15.72,6.08,1966.22,0.9
2024-07-08,0,1239,LTGES0813,215,97,141.29,-19.56,1966.22,7.3
2024-07-08,0,1659,LTGES1094b,476,35,-60.94,-45.06,7149.91,1.1
2024-07-08,0,1290,LTGES0850a,170,552,-58.29,2.15,1966.22,3.0
2024-07-08,0,1613,LTGES1063b,1059,609,-7.31,-2.19,1966.22,0.4
2024-07-08,0,2246,TR_4eff5937,485,486,-178.01,1.57,1920.0,9.3
2024-07-08,0,346,LTGES0238b,757,259,5.73,-0.19,676.75,0.8
